case_order,run_case_id,study_tags,variant,nranks,n1,n2,n3,m,cxx_mpi_modes,run_fortran,run_cxx,notes
1,sgref_np1_32x32x128_m2_device,signature;single_gpu_reference;m_sensitivity,noncyclic,1,32,32,128,2,device,1,1,single_gpu_m2_reference
2,sgref_np1_32x32x128_m3_device,signature;single_gpu_reference;m_sensitivity,noncyclic,1,32,32,128,3,device,1,1,single_gpu_m3_reference
3,sgref_np1_32x32x128_m5_device,signature;single_gpu_reference;m_sensitivity,noncyclic,1,32,32,128,5,device,1,1,single_gpu_m5_reference
4,sgref_np1_32x32x128_m8_device,signature;single_gpu_reference;m_sensitivity,noncyclic,1,32,32,128,8,device,1,1,single_gpu_m8_reference
5,strong_np2_64x64x2048_m2_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity,noncyclic,2,64,64,2048,2,device,1,1,strong_m2_2gpu_baseline
6,strong_np4_64x64x2048_m2_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;weak_nrow_scaling;m_sensitivity,noncyclic,4,64,64,2048,2,device,1,1,strong_m2_4gpu_and_weak_nrow_midpoint
7,strong_np8_64x64x2048_m2_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;m_sensitivity,noncyclic,8,64,64,2048,2,device,1,1,strong_m2_8gpu_and_nsys_midpoint
8,strong_np2_64x64x2048_m3_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity,noncyclic,2,64,64,2048,3,device,1,1,strong_m3_2gpu_baseline
9,strong_np4_64x64x2048_m3_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity,noncyclic,4,64,64,2048,3,device,1,1,strong_m3_4gpu
10,strong_np8_64x64x2048_m3_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity,noncyclic,8,64,64,2048,3,device,1,1,strong_m3_8gpu
11,strong_np2_64x64x2048_m5_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity;central_case;mpi_mode_device_reference,noncyclic,2,64,64,2048,5,device,1,1,central_m5_2gpu_baseline
12,strong_np4_64x64x2048_m5_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;weak_nrow_scaling;m_sensitivity;central_case;mpi_mode_device_reference,noncyclic,4,64,64,2048,5,device,1,1,central_m5_4gpu_and_weak_nrow_midpoint
13,strong_np8_64x64x2048_m5_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;m_sensitivity;central_case;mpi_mode_device_reference,noncyclic,8,64,64,2048,5,device,1,1,central_m5_8gpu_and_nsys_midpoint
14,strong_np2_64x64x2048_m8_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity,noncyclic,2,64,64,2048,8,device,1,1,strong_m8_2gpu_baseline
15,strong_np4_64x64x2048_m8_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;weak_nrow_scaling;m_sensitivity,noncyclic,4,64,64,2048,8,device,1,1,strong_m8_4gpu_and_weak_nrow_midpoint
16,strong_np8_64x64x2048_m8_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;m_sensitivity,noncyclic,8,64,64,2048,8,device,1,1,strong_m8_8gpu_and_nsys_midpoint
17,weak_nrow_np2_64x64x1024_m2_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity,noncyclic,2,64,64,1024,2,device,1,1,weak_nrow_m2_local_nrow_512_at_2gpu
18,weak_nrow_np8_64x64x4096_m2_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity,noncyclic,8,64,64,4096,2,device,1,1,weak_nrow_m2_local_nrow_512_at_8gpu
19,weak_nrow_np2_64x64x1024_m5_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity,noncyclic,2,64,64,1024,5,device,1,1,weak_nrow_m5_local_nrow_512_at_2gpu
20,weak_nrow_np8_64x64x4096_m5_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity,noncyclic,8,64,64,4096,5,device,1,1,weak_nrow_m5_local_nrow_512_at_8gpu
21,weak_nrow_np2_64x64x1024_m8_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity,noncyclic,2,64,64,1024,8,device,1,1,weak_nrow_m8_local_nrow_512_at_2gpu
22,weak_nrow_np8_64x64x4096_m8_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity,noncyclic,8,64,64,4096,8,device,1,1,weak_nrow_m8_local_nrow_512_at_8gpu
23,nsys_np8_32x32x2048_m2_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity,noncyclic,8,32,32,2048,2,device,1,1,nsys_small_m2_at_8gpu
24,nsys_np8_128x128x2048_m2_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity,noncyclic,8,128,128,2048,2,device,1,1,nsys_large_m2_at_8gpu
25,nsys_np8_32x32x2048_m5_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity,noncyclic,8,32,32,2048,5,device,1,1,nsys_small_m5_at_8gpu
26,nsys_np8_128x128x2048_m5_device,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity,noncyclic,8,128,128,2048,5,device,1,1,nsys_large_m5_at_8gpu
