solver,variant,implementation,nranks,n1,n2,n3,m,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,forward_exchange_s_max,reduced_compute_s_max,backward_exchange_s_max,update_compute_s_max,compute_s_max,communication_s_max
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,0,10,device,0.00471775,0.00471775,0.003596667,0.000635564,0.000129244,2.5789e-05,0.000329745,0.004055656,0.000661353
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,1,10,device,0.002140572,0.002140572,0.001686671,8.8783e-05,2.2564e-05,2.4357e-05,0.000317997,0.002027232,0.00011314
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,2,10,device,0.002132971,0.002132971,0.001683767,8.4227e-05,2.2594e-05,2.4106e-05,0.000318087,0.002024448,0.000108333
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,3,10,device,0.002133311,0.002133311,0.001684007,8.4587e-05,2.2644e-05,2.3656e-05,0.000318228,0.002024879,0.000108243
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,4,10,device,0.002132631,0.002132631,0.001684098,8.4226e-05,2.2704e-05,2.3395e-05,0.000318008,0.00202481,0.000107621
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,5,10,device,0.002133502,0.002133502,0.001683877,8.5088e-05,2.2424e-05,2.3725e-05,0.000318208,0.002024509,0.000108813
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,6,10,device,0.002131959,0.002131959,0.001683326,8.4136e-05,2.2414e-05,2.3746e-05,0.000318127,0.002023867,0.000107882
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,7,10,device,0.002133392,0.002133392,0.001684578,8.3986e-05,2.2484e-05,2.3776e-05,0.000318357,0.002025419,0.000107762
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,8,10,device,0.002134163,0.002134163,0.001684087,8.4767e-05,2.2754e-05,2.4377e-05,0.000317978,0.002024819,0.000109144
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,9,10,device,0.00213228,0.00213228,0.001683897,8.4207e-05,2.2343e-05,2.3835e-05,0.000317807,0.002024047,0.000108042
btdma,noncyclic,cuda-cxx,1,32,32,128,3,1024,128,128,0,10,device,0.006841687,0.006841687,0.005438642,0.000658538,0.000141423,2.669e-05,0.000575894,0.006155959,0.000685228
btdma,noncyclic,cuda-cxx,1,32,32,128,3,1024,128,128,1,10,device,0.003909828,0.003909828,0.003277488,9.7807e-05,3.338e-05,2.4967e-05,0.000475974,0.003786842,0.000122774
btdma,noncyclic,cuda-cxx,1,32,32,128,3,1024,128,128,2,10,device,0.003901445,0.003901445,0.003269566,9.5643e-05,3.3671e-05,2.4957e-05,0.000477387,0.003780624,0.0001206
btdma,noncyclic,cuda-cxx,1,32,32,128,3,1024,128,128,3,10,device,0.003903208,0.003903208,0.003270458,9.8858e-05,3.3239e-05,2.3905e-05,0.000476536,0.003780233,0.000122763
